2025-03-25 19:38:24,908 - __main__ - INFO - create database portfolio
2025-03-25 19:41:12,332 - __main__ - INFO - create database portfolio
2025-03-25 19:44:10,424 - __main__ - INFO - database portfolio available => True
2025-03-25 19:44:47,766 - __main__ - INFO - database => portfolio available => True
2025-03-25 19:45:47,168 - __main__ - INFO - create database portfolio
2025-03-25 19:55:29,529 - __main__ - INFO - Start Prg
2025-03-25 19:55:29,529 - __main__ - INFO - Finish Prg
2025-03-25 20:06:47,662 - __main__ - INFO - Start Prg
2025-03-25 20:06:47,662 - __main__ - INFO - Finish Prg
2025-03-25 20:13:41,025 - __main__ - INFO - Start Prg
2025-03-25 20:13:41,025 - __main__ - INFO - Finish Prg
2025-03-25 20:13:41,026 - __main__ - DEBUG - call direct
2025-03-25 20:15:45,735 - __main__ - DEBUG - start init_logger
2025-03-25 20:15:45,735 - __main__ - DEBUG - finished init_logger
2025-03-25 20:15:45,735 - __main__ - INFO - Start Prg
2025-03-25 20:15:45,735 - __main__ - INFO - Finish Prg
2025-03-25 20:15:45,735 - __main__ - DEBUG - call direct
2025-03-25 20:41:34,935 - __main__ - DEBUG - start init_logger
2025-03-25 20:41:34,935 - __main__ - DEBUG - finished init_logger
2025-03-25 20:41:34,935 - __main__ - DEBUG - prg call direct
2025-03-25 20:41:34,935 - __main__ - INFO - Start Prg
2025-03-25 20:41:34,936 - __main__ - INFO - init mysql connection
2025-03-25 20:41:34,978 - __main__ - INFO - Finish Prg
2025-03-25 20:41:34,979 - __main__ - DEBUG - call as module
2025-03-25 20:42:32,635 - __main__ - DEBUG - start init_logger
2025-03-25 20:42:32,635 - __main__ - DEBUG - finished init_logger
2025-03-25 20:42:32,635 - __main__ - DEBUG - prg call direct
2025-03-25 20:42:32,635 - __main__ - INFO - Start Prg
2025-03-25 20:42:32,635 - __main__ - INFO - init mysql connection
2025-03-25 20:42:32,678 - __main__ - INFO - Finish Prg
2025-03-26 09:23:19,849 - __main__ - DEBUG - start init_logger
2025-03-26 09:23:21,833 - __main__ - DEBUG - finished init_logger
2025-03-26 09:23:33,497 - __main__ - DEBUG - program call direct
2025-03-26 09:23:36,097 - __main__ - INFO - Start Program
2025-03-26 09:23:43,944 - __main__ - INFO - init mysql connection
2025-03-26 09:24:45,559 - __main__ - INFO - Finish Prg
2025-03-26 09:25:12,873 - __main__ - DEBUG - start init_logger
2025-03-26 09:25:12,873 - __main__ - DEBUG - finished init_logger
2025-03-26 09:25:12,873 - __main__ - DEBUG - program call direct
2025-03-26 09:25:12,873 - __main__ - INFO - Start Program
2025-03-26 09:25:12,873 - __main__ - INFO - init mysql connection
2025-03-26 09:25:12,914 - __main__ - INFO - Finish Prg
DEBUG | 2025-03-26T09:44:34Z | start init_logger
DEBUG | 2025-03-26T09:44:34Z | finished init_logger
DEBUG | 2025-03-26T09:44:34Z | program call direct
INFO | 2025-03-26T09:44:34Z | Start Program
INFO | 2025-03-26T09:44:34Z | init mysql connection
INFO | 2025-03-26T09:44:34Z | Finish Prg
DEBUG | 2025-03-26T09:47:51Z |__main__ | start init_logger
DEBUG | 2025-03-26T09:47:51Z |__main__ | finished init_logger
DEBUG | 2025-03-26T09:47:51Z |__main__ | program call direct
INFO | 2025-03-26T09:47:51Z |__main__ | Start Program
INFO | 2025-03-26T09:47:51Z |__main__ | init mysql connection
INFO | 2025-03-26T09:47:51Z |__main__ | Finish Prg
DEBUG | 2025-03-26T16:21:41Z |__main__ |db_create_database_portfolio.py:connect_mysql_server_local :Line 66| RETURN successful connection
DEBUG | 2025-03-26T16:21:43Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 99| start
INFO | 2025-03-26T16:21:43Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 101| db is connected
INFO | 2025-03-26T16:21:44Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('information_schema',)
INFO | 2025-03-26T16:21:44Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('mysql',)
INFO | 2025-03-26T16:21:44Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('performance_schema',)
INFO | 2025-03-26T16:21:44Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('portfolio',)
INFO | 2025-03-26T16:21:44Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('sys',)
INFO | 2025-03-26T16:21:44Z |__main__ |db_create_database_portfolio.py:run :Line 221| database available => True
INFO | 2025-03-26T16:21:44Z |__main__ |db_create_database_portfolio.py:run :Line 224| Database already available
DEBUG | 2025-03-26T16:21:44Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 155| start
INFO | 2025-03-26T16:21:44Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 157| db is connected
INFO | 2025-03-26T16:21:44Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 165| use database portfolio 
INFO | 2025-03-26T16:21:44Z |__main__ |db_create_database_portfolio.py:run :Line 237| Table not available => create it now ;-)
ERROR | 2025-03-26T16:21:44Z |__main__ |db_create_database_portfolio.py:run :Line 245| An error => 'portfolio' occurred line:#238
INFO | 2025-03-26T16:21:44Z |__main__ |db_create_database_portfolio.py:<module> :Line 260| Finish Prg
DEBUG | 2025-03-26T16:22:47Z |__main__ |db_create_database_portfolio.py:init_logger :Line 55| start
DEBUG | 2025-03-26T16:22:47Z |__main__ |db_create_database_portfolio.py:init_logger :Line 56| finished
DEBUG | 2025-03-26T16:22:47Z |__main__ |db_create_database_portfolio.py:<module> :Line 257| program call direct
INFO | 2025-03-26T16:22:47Z |__main__ |db_create_database_portfolio.py:<module> :Line 258| Start Program
INFO | 2025-03-26T16:22:47Z |__main__ |db_create_database_portfolio.py:run :Line 215| init mysql connection
DEBUG | 2025-03-26T16:22:47Z |__main__ |db_create_database_portfolio.py:connect_mysql_server_local :Line 66| RETURN successful connection
DEBUG | 2025-03-26T16:22:49Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 99| start
INFO | 2025-03-26T16:22:49Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 101| db is connected
INFO | 2025-03-26T16:22:51Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('information_schema',)
INFO | 2025-03-26T16:22:51Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('mysql',)
INFO | 2025-03-26T16:22:51Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('performance_schema',)
INFO | 2025-03-26T16:22:51Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('portfolio',)
INFO | 2025-03-26T16:22:51Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('sys',)
INFO | 2025-03-26T16:22:51Z |__main__ |db_create_database_portfolio.py:run :Line 221| database available => True
INFO | 2025-03-26T16:22:51Z |__main__ |db_create_database_portfolio.py:run :Line 224| Database already available
DEBUG | 2025-03-26T16:22:51Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 155| start
INFO | 2025-03-26T16:22:51Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 157| db is connected
INFO | 2025-03-26T16:22:51Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 165| use database portfolio 
INFO | 2025-03-26T16:22:51Z |__main__ |db_create_database_portfolio.py:run :Line 237| Table not available => create it now ;-)
ERROR | 2025-03-26T16:22:51Z |__main__ |db_create_database_portfolio.py:run :Line 245| An error => 'portfolio' occurred line:#238
INFO | 2025-03-26T16:22:51Z |__main__ |db_create_database_portfolio.py:<module> :Line 260| Finish Prg
2025-03-26 16:23:07,806 - __main__ - INFO - database => portfolio available => True
2025-03-26 16:23:14,859 - __main__ - INFO - database => portfolio available => True
DEBUG | 2025-03-26T16:23:57Z |__main__ |db_create_database_portfolio.py:init_logger :Line 55| start
DEBUG | 2025-03-26T16:23:57Z |__main__ |db_create_database_portfolio.py:init_logger :Line 56| finished
DEBUG | 2025-03-26T16:23:57Z |__main__ |db_create_database_portfolio.py:<module> :Line 257| program call direct
INFO | 2025-03-26T16:23:57Z |__main__ |db_create_database_portfolio.py:<module> :Line 258| Start Program
INFO | 2025-03-26T16:23:57Z |__main__ |db_create_database_portfolio.py:run :Line 215| init mysql connection
DEBUG | 2025-03-26T16:23:57Z |__main__ |db_create_database_portfolio.py:connect_mysql_server_local :Line 66| RETURN successful connection
DEBUG | 2025-03-26T16:24:01Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 99| start
INFO | 2025-03-26T16:24:01Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 101| db is connected
INFO | 2025-03-26T16:24:04Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('information_schema',)
INFO | 2025-03-26T16:24:04Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('mysql',)
INFO | 2025-03-26T16:24:04Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('performance_schema',)
INFO | 2025-03-26T16:24:04Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('portfolio',)
INFO | 2025-03-26T16:24:04Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('sys',)
INFO | 2025-03-26T16:24:04Z |__main__ |db_create_database_portfolio.py:run :Line 221| database available => True
INFO | 2025-03-26T16:24:04Z |__main__ |db_create_database_portfolio.py:run :Line 224| Database already available
DEBUG | 2025-03-26T16:24:04Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 155| start
INFO | 2025-03-26T16:24:04Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 157| db is connected
INFO | 2025-03-26T16:24:04Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 165| use database portfolio 
INFO | 2025-03-26T16:24:04Z |__main__ |db_create_database_portfolio.py:run :Line 237| Table not available => create it now ;-)
ERROR | 2025-03-26T16:24:04Z |__main__ |db_create_database_portfolio.py:run :Line 245| An error => 'portfolio' occurred line:#238
INFO | 2025-03-26T16:24:04Z |__main__ |db_create_database_portfolio.py:<module> :Line 260| Finish Prg
DEBUG | 2025-03-26T16:24:52Z |__main__ |db_create_database_portfolio.py:init_logger :Line 55| start
DEBUG | 2025-03-26T16:24:52Z |__main__ |db_create_database_portfolio.py:init_logger :Line 56| finished
DEBUG | 2025-03-26T16:24:52Z |__main__ |db_create_database_portfolio.py:<module> :Line 257| program call direct
INFO | 2025-03-26T16:24:52Z |__main__ |db_create_database_portfolio.py:<module> :Line 258| Start Program
INFO | 2025-03-26T16:24:52Z |__main__ |db_create_database_portfolio.py:run :Line 215| init mysql connection
DEBUG | 2025-03-26T16:24:52Z |__main__ |db_create_database_portfolio.py:connect_mysql_server_local :Line 66| RETURN successful connection
DEBUG | 2025-03-26T16:24:54Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 99| start
INFO | 2025-03-26T16:24:54Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 101| db is connected
INFO | 2025-03-26T16:24:56Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('information_schema',)
INFO | 2025-03-26T16:24:56Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('mysql',)
INFO | 2025-03-26T16:24:56Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('performance_schema',)
INFO | 2025-03-26T16:24:56Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('portfolio',)
INFO | 2025-03-26T16:24:56Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('sys',)
INFO | 2025-03-26T16:24:56Z |__main__ |db_create_database_portfolio.py:run :Line 221| database available => True
INFO | 2025-03-26T16:24:56Z |__main__ |db_create_database_portfolio.py:run :Line 224| Database already available
DEBUG | 2025-03-26T16:24:56Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 155| start
INFO | 2025-03-26T16:24:56Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 157| db is connected
INFO | 2025-03-26T16:24:56Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 165| use database portfolio 
INFO | 2025-03-26T16:25:00Z |__main__ |db_create_database_portfolio.py:run :Line 237| Table not available => create it now ;-)
DEBUG | 2025-03-26T16:26:47Z |__main__ |db_create_database_portfolio.py:init_logger :Line 55| start
DEBUG | 2025-03-26T16:26:47Z |__main__ |db_create_database_portfolio.py:init_logger :Line 56| finished
DEBUG | 2025-03-26T16:26:47Z |__main__ |db_create_database_portfolio.py:<module> :Line 257| program call direct
INFO | 2025-03-26T16:26:47Z |__main__ |db_create_database_portfolio.py:<module> :Line 258| Start Program
INFO | 2025-03-26T16:26:47Z |__main__ |db_create_database_portfolio.py:run :Line 215| init mysql connection
DEBUG | 2025-03-26T16:26:47Z |__main__ |db_create_database_portfolio.py:connect_mysql_server_local :Line 66| RETURN successful connection
DEBUG | 2025-03-26T16:26:50Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 99| start
INFO | 2025-03-26T16:26:50Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 101| db is connected
INFO | 2025-03-26T16:26:53Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('information_schema',)
INFO | 2025-03-26T16:26:53Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('mysql',)
INFO | 2025-03-26T16:26:53Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('performance_schema',)
INFO | 2025-03-26T16:26:53Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('portfolio',)
INFO | 2025-03-26T16:26:53Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('sys',)
INFO | 2025-03-26T16:26:53Z |__main__ |db_create_database_portfolio.py:run :Line 221| database available => True
INFO | 2025-03-26T16:26:53Z |__main__ |db_create_database_portfolio.py:run :Line 224| Database already available
DEBUG | 2025-03-26T16:26:53Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 155| start
INFO | 2025-03-26T16:26:53Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 157| db is connected
INFO | 2025-03-26T16:26:53Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 165| use database portfolio 
INFO | 2025-03-26T16:26:56Z |__main__ |db_create_database_portfolio.py:run :Line 237| Table not available => create it now ;-)
ERROR | 2025-03-26T16:29:36Z |__main__ |db_create_database_portfolio.py:run :Line 245| An error => Logger._log() got an unexpected keyword argument 'end' occurred line:#238
DEBUG | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:init_logger :Line 55| start
DEBUG | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:init_logger :Line 56| finished
DEBUG | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:<module> :Line 257| program call direct
INFO | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:<module> :Line 258| Start Program
INFO | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:run :Line 215| init mysql connection
DEBUG | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:connect_mysql_server_local :Line 66| RETURN successful connection
DEBUG | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 99| start
INFO | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 101| db is connected
INFO | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('information_schema',)
INFO | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('mysql',)
INFO | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('performance_schema',)
INFO | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('portfolio',)
INFO | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('sys',)
INFO | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:run :Line 221| database available => True
INFO | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:run :Line 224| Database already available
DEBUG | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 155| start
INFO | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 157| db is connected
INFO | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 165| use database portfolio 
INFO | 2025-03-26T16:31:01Z |__main__ |db_create_database_portfolio.py:run :Line 237| Table not available => create it now ;-)
DEBUG | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:init_logger :Line 55| start
DEBUG | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:init_logger :Line 56| finished
DEBUG | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:<module> :Line 257| program call direct
INFO | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:<module> :Line 258| Start Program
INFO | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:run :Line 215| init mysql connection
DEBUG | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:connect_mysql_server_local :Line 66| RETURN successful connection
DEBUG | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 99| start
INFO | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 101| db is connected
INFO | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('information_schema',)
INFO | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('mysql',)
INFO | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('performance_schema',)
INFO | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('portfolio',)
INFO | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:db_check_available :Line 117| Follow database available ('sys',)
INFO | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:run :Line 221| database available => True
INFO | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:run :Line 224| Database already available
DEBUG | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 155| start
INFO | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 157| db is connected
INFO | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:table_check_available :Line 165| use database portfolio 
INFO | 2025-03-26T16:32:14Z |__main__ |db_create_database_portfolio.py:run :Line 237| Table not available => create it now ;-)
DEBUG | 2025-03-26T16:32:22Z |__main__ |db_create_database_portfolio.py:table_create :Line 200| Creating table positions: 
